Secteur,Nom,Adresse,Téléphone,Note Google,Nb avis,Site web,Statut appel,Date 1er contact,Relance 1,Relance 2,RDV fixé,Call booké,Notes
Restauration,Regal Kebab,"146 Rue de Vesle, 51100 Reims, France",07 83 43 77 31,3.5,92.0,NON,,,,,,,
Restauration,Sushi Master,"Carrefour Reims Cormontreuil, Rte de Louvois, 51350 Cormontreuil, France",06 28 25 66 98,5.0,1.0,NON,REPONDS PAS,,,,,,
Restauration,Les Sales Gosses Bistroquet,"23 Av. Jean Jaurès, 51100 Reims, France",06 33 55 88 34,4.3,57.0,NON,",,",,,,,,
Restauration,Chez Jeanne food truck,"Le Mont Chainqueux, 51370 Les Mesneux, France",07 67 86 63 02,4.8,89.0,NON,said no,,,,,,
Restauration,Du côté de chez Swan ( food truck ),"Pl. de l'Église, 51100 Reims, France",07 68 08 90 12,4.9,44.0,NON,"he said no, but wait",,,,,,
Restauration,Food Truck La Balade Gourmande,"1 Rue des Tondeurs Neuv, 51100 Reims, France",06 77 50 02 10,2.6,7.0,NON,,,,,,,
Restauration,Little Spoon,"2 Rue des Capucins, 51100 Reims, France",06 67 83 39 59,5.0,204.0,NON,vendredi  aprs midi rappel quand il yaura son associe,,,,,,
Restauration,Let's Sandwich,"24 Pl. Myron Herrick, 51100 Reims, France",06 14 38 80 53,4.4,240.0,NON,,,,,,,
Restauration,Un Truck De Food,"7 Quai Gaignot, 08300 Rethel, France",06 01 09 58 03,4.8,18.0,NON,rep pas,,,,,,
Restauration,L'unique,"53 Rue Jean Jaurès, 51110 Bazancourt, France",06 12 89 18 34,3.5,63.0,NON,rep pas,,,,,,
Restauration,La sandwicherie chez nanie,"52 Rue Saint-Laurent, 56310 Melrand, France",06 60 96 56 36,5.0,1.0,NON,,,,,,,
Restauration,COCCI FRITES,"D951, 51120 Sézanne, France",06 50 12 80 18,4.7,46.0,NON,said no,,,,,,
Beauté,Le Coiffeur du quartier,"33 Rue des Poissonniers, 51100 Reims, France",06 15 95 28 99,3.8,175.0,NON,ELLE VA EN PARLER AU MANAGER A RAPPELER,,,,,,
Beauté,STUDIO BY M.,"19 Bd Foch, 51100 Reims, France",07 44 99 51 11,5.0,65.0,NON,8 44 99 51 11,,,,,,
Beauté,hair industry,"58 Rue de Bétheny, 51100 Reims, France",06 95 07 73 02,4.6,101.0,NON,7 95 07 73 02,,,,,,
Beauté,07 Barbershop,"31 Rue des Poissonniers, 51100 Reims, France",06 95 87 56 04,4.8,96.0,NON,7 95 87 56 04,,,,,,
Beauté,Reims beauty,"157 Rue de Vesle, 51100 Reims, France",06 51 55 42 05,3.0,4.0,NON,7 51 55 42 05,,,,,,
Beauté,King’s Barber 💈,"91 Rue de Cernay, 51100 Reims, France",07 75 95 62 78,4.4,90.0,NON,8 75 95 62 78,,,,,,
Beauté,Luton BarberShop,"23 Rue de Neufchâtel, 51100 Reims, France",06 51 67 58 57,4.8,55.0,NON,7 51 67 58 57,,,,,,
Beauté,La main d’or barber,"La main d’or barber, 174 Rue du Chalet, 51450 Bétheny, France",07 52 29 03 52,4.8,75.0,NON,8 52 29 03 52,,,,,,
Beauté,L'Homme Tag,"2 Rue Curie, 51370 Saint-Brice-Courcelles, France",07 81 45 54 50,5.0,661.0,NON,8 81 45 54 50,,,,,,
Beauté,Le New Yorkais,"3 Rue Jeanne-d'Arc, 51100 Reims, France",06 58 65 29 58,3.9,152.0,NON,7 58 65 29 58,,,,,,
Beauté,MELKA BARBER GAMBETTA,"88 Rue Gambetta, 51100 Reims, France",07 44 17 57 53,3.9,23.0,NON,8 44 17 57 53,,,,,,
Beauté,Le barbier,"174 Rue du Chalet, 51450 Bétheny, France",06 04 79 01 86,2.4,8.0,NON,7 04 79 01 86,,,,,,
Beauté,l'ateliers des ongles reims,"15 Rue Gambetta, 51100 Reims, France",06 28 66 57 63,4.4,42.0,NON,7 28 66 57 63,,,,,,
Beauté,Lb Nails,"Rue Cardinal Luçon, 51420 Cernay-lès-Reims, France",06 35 50 48 19,5.0,3.0,NON,7 35 50 48 19,,,,,,
Beauté,Institut Tamara,"54 Rue de Cernay, 51100 Reims, France",07 69 72 58 08,5.0,45.0,NON,8 69 72 58 08,,,,,,
Beauté,E.V.A Nails,"13 Rue Lantiome, 51100 Reims, France",07 71 37 90 46,,,NON,8 71 37 90 46,,,,,,
Beauté,House of Beauty 51,"Rue de Strasbourg, 51100 Reims, France",06 09 06 43 41,4.6,21.0,NON,7 09 06 43 41,,,,,,
Beauté,L'Atelier Osaline,"28 Av. d'Épernay, 51100 Reims, France",06 46 84 19 28,5.0,16.0,NON,,,,,,,
Beauté,Créativement Vôtre,"21 Rue de Fismes, 51100 Reims, France",06 12 21 68 39,4.9,9.0,NON,,,,,,,
Beauté,Bulle de Soie head spa holistique reims,"5 Rue Cérès, 51100 Reims, France",06 30 29 04 52,5.0,18.0,NON,,,,,,,
Beauté,Massage et soins visage Bio Reims - Sublime Douceur,"9 bis Bd du Général Leclerc, 51100 Reims, France",06 85 68 94 77,5.0,90.0,NON,,,,,,,
Beauté,ZENSO massage reims,"79 Rue du Jard, 51100 Reims, France",06 88 76 05 83,5.0,5.0,NON,,,,,,,
Beauté,Zenova - Drainage lymphatique & Head Spa à Reims,"19 Rue Dr Thomas, 51100 Reims, France",06 31 64 17 38,5.0,11.0,NON,,,,,,,
Beauté,massage relax reims,"73 Rue de Cernay, 51100 Reims, France",07 57 64 03 00,3.8,5.0,NON,,,,,,,
Beauté,PAUSE VANILLE,"66 D Rue Clovis, 51100 Reims, France",06 08 87 49 77,5.0,30.0,NON,,,,,,,
Beauté,BEAUTE,"73 Rue de Cernay, 51100 Reims, France",07 57 65 03 00,5.0,1.0,NON,,,,,,,
Beauté,"Noémie Leoncini - Réflexologue et Soins bien-être, micro massage énergetique à Reims","8 Rue Thiers, 51100 Reims, France",07 49 97 05 71,5.0,9.0,NON,,,,,,,
Beauté,Maya salon de massage,"194 Av. Jean Jaurès, 51100 Reims, France",06 02 84 84 57,4.0,7.0,NON,,,,,,,
Sport & Santé,Livie Garnier Coach Sportif,"Rue Charlier, 51100 Reims, France",07 81 02 21 58,5.0,7.0,NON,rp,,,,,,
Sport & Santé,Trainsform,"85 Rue Clovis, 51100 Reims, France",06 75 26 43 86,5.0,2.0,NON,RP,,,,,,
Sport & Santé,Dutel Sophie,"35 Rue Paulin Paris, 51100 Reims, France",07 57 84 00 59,5.0,1.0,NON,rp,,,,,,
Sport & Santé,"Taiclet Nicolas, Masseur-Kinésithérapeute, Ostéopathe","126 Bd Saint-Marceaux, 51100 Reims, France",06 84 11 03 22,5.0,14.0,NON,pas repondu,rappeler,,,,,
Sport & Santé,Alice Warhem,"26 Rue des Moulins, 51100 Reims, France",06 82 73 04 98,4.8,12.0,NON,rappeler,,,,,,
Sport & Santé,Pauline Chaumeil,"15 Rue Coquebert, 51100 Reims, France",06 64 95 59 03,4.9,98.0,NON,rp,,,,,,
Sport & Santé,Ayse MUTLU Ostéopathe DO,"100B Av. Georges Clemenceau, 51100 Reims, France",07 84 44 52 36,5.0,44.0,NON,,,,,,,
Sport & Santé,Lisa BRULE - Cabinet d'ostéopathie Pluri Des Sacres,"22 Rue Simon, 51100 Reims, France",06 20 17 64 36,5.0,113.0,NON,,,,,,,
Sport & Santé,Alexandre Barrier Ostéopathe D.O.,"6 Bd Jamin, 51100 Reims, France",06 30 12 21 12,4.9,31.0,NON,,,,,,,
Sport & Santé,Lydie Roger - Ostéopathe,"21 Rue de Courcelles, 51100 Reims, France",06 17 72 66 49,4.5,16.0,NON,,,,,,,
Sport & Santé,Ostéopathe Reims - Pierre Massias,"10 Rue Payen, 51100 Reims, France",07 67 78 78 83,5.0,7.0,NON,,,,,,,
Sport & Santé,Spooner Vecchiali Fabienne,"36 Rue Boulard, 51100 Reims, France",06 08 96 41 90,5.0,7.0,NON,,,,,,,
Sport & Santé,Ostéopathe Clément BIEUX,"1 Rue des Sœurs Étienne, 51100 Reims, France",06 11 35 33 88,5.0,4.0,NON,,,,,,,
Sport & Santé,Cardante Mickael,"52 Rue Gambetta, 51100 Reims, France",06 16 74 22 91,5.0,2.0,NON,,,,,,,
Artisans,Castet Plomberie,"44 Rue Jules Bruneau, 51100 Reims, France",06 22 46 30 34,5.0,207.0,NON,rp pas,,,,,,
Artisans,A.B PLOMBERIE CHAUFFAGE REIMS,"45 Rue Narcisse Brunette, 51100 Reims, France",06 25 87 33 15,5.0,29.0,NON,rp pas,,,,,,
Artisans,O'chauf,"30 Rue d'Estienne d'Orves, 51100 Reims, France",06 03 00 46 17,5.0,5.0,NON,rp pas,,,,,,
Artisans,PCPX,"Allée Roger noisiez, 51430 Tinqueux, France",07 69 89 53 95,4.9,53.0,NON,rp pas,,,,,,
Artisans,Le Parfait Chauffagiste,"8 All. Paul Halary, 51100 Reims, France",06 85 11 27 08,4.8,20.0,NON,rp pas,,,,,,
Artisans,Ac dépannage chauffage,"31 Rue du Chanoine Lallement, 51100 Reims, France",06 32 90 13 70,5.0,33.0,NON,rp pas,,,,,,
Artisans,Legouge Vincent,"5 Rue du Chanoine Lallement, 51100 Reims, France",06 11 11 18 05,4.7,11.0,NON,veut pas,,,,,,
Artisans,New Look Habitat,"1 Rue Albert Réville, 51100 Reims, France",06 70 11 75 55,3.0,3.0,NON,,,,,,,
Artisans,Aksa tech-elect,"9 Rue Pierre Taittinger, 51100 Reims, France",07 58 66 30 29,,,NON,,,,,,,
Artisans,FASSI ELECTRICITE,"16A Rue Yvon et Claire Morandat, 51100 Reims, France",07 68 53 91 91,5.0,2.0,NON,,,,,,,
Artisans,sas Bhn Company Hicham,"19 Rue Pierre Taittinger, 51100 Reims, France",06 21 11 05 26,5.0,2.0,NON,,,,,,,
Artisans,Sotin Nicolas Electricité,"15 Bd Pommery, 51100 Reims, France",06 40 97 60 54,,,NON,,,,,,,
Artisans,Sylva's Tools,"1 Rue des Teinturiers, 51100 Reims, France",06 10 85 83 31,5.0,2.0,NON,,,,,,,
Artisans,AMELEC ENERGIE,"89 Rue Farman, 51450 Bétheny, France",06 29 98 00 73,5.0,5.0,NON,,,,,,,
Artisans,SADE-ELEC,"99 Rue Croix-Saint-Marc, 51100 Reims, France",07 82 57 28 47,,,NON,,,,,,,
Artisans,MC ELECTRICITE,"21 Rue du Colonel le Boulanger, 51100 Reims, France",06 27 63 14 87,5.0,1.0,NON,,,,,,,
Artisans,Meunier Artisan,"62 Bd Robespierre, 51100 Reims, France",07 80 04 94 39,5.0,1.0,NON,,,,,,,
Artisans,TP.peinture,"20 Rue de Fismes, 51100 Reims, France",06 36 41 58 29,5.0,20.0,NON,,,,,,,
Artisans,Kadana peinture,"54 Rue Hannah Arendt, 51100 Reims, France",07 69 09 88 90,5.0,5.0,NON,,,,,,,
Artisans,SPG SOCIETE DE PEINTURE GENERALE 51,"5 Rue Charles de Sèze, 51100 Reims, France",07 58 93 79 02,5.0,2.0,NON,,,,,,,
Artisans,Chagaar Karim,"13 Rue Saint-Sixte, 51100 Reims, France",06 82 30 79 05,5.0,3.0,NON,,,,,,,
Artisans,Multi services 51,"60 Rue Clovis Chezel, 51100 Reims, France",06 51 22 50 37,,,NON,,,,,,,
Artisans,A.J Peinture,"13 Rue Boris Vian, 51370 Saint-Brice-Courcelles, France",06 89 67 15 78,5.0,7.0,NON,,,,,,,
Artisans,Erca Prestations,"8 Rue Gabriel Voisin, 51100 Reims, France",06 52 81 67 37,5.0,2.0,NON,,,,,,,
Artisans,Nisbat,"8 All. du Vignoble, 51100 Reims, France",06 52 56 12 53,,,NON,,,,,,,
Artisans,DG PRESTIGE AUTOMOBILE,"5 Av. André Margot, 51100 Reims, France",06 99 13 35 35,4.9,223.0,NON,,,,,,,
Artisans,Garage BT 27,"36 Rue de la Villageoise, 51100 Reims, France",06 85 77 87 65,4.9,65.0,NON,,,,,,,
Artisans,Garage Mécanique Automobile,"3 Rue Général Micheler, 51100 Reims, France",06 58 66 07 28,5.0,15.0,NON,,,,,,,
Artisans,Venise Cars,"86 Rue de Venise, 51100 Reims, France",06 58 14 40 96,4.9,39.0,NON,,,,,,,
Artisans,GARAGE JS MECANIQUE,"83 ter, Rue Ernest Renan, 51100 Reims, France",07 60 08 77 24,4.3,54.0,NON,RAPPEL DEMAIN,,,,,,
Artisans,Remorquage 51 Reims,"11 Rue de la Fossé Cochard, 51370 Saint-Brice-Courcelles, France",06 10 18 01 10,,,NON,said no,,,,,,
Artisans,KAD Motortech,"39 Rue Maldan, 51100 Reims, France",06 95 69 84 04,5.0,9.0,NON,,,,,,,
Artisans,Levon Transports,"51 Av. d'Épernay, 51100 Reims, France",07 49 67 74 14,5.0,24.0,NON,,,,,,,
Artisans,MON PETIT CAMION,"52 Av. Roger Martin du Gard, 51430 Tinqueux, France",06 40 27 21 33,5.0,2.0,NON,,,,,,,
Artisans,Quatre Pattes Transport,"10 Pl. des Oiseaux, 51100 Reims, France",06 17 12 34 34,,,NON,,,,,,,
Artisans,Transports Sogny,"16 Rue du Chanoine Hess, 51100 Reims, France",06 13 50 33 14,5.0,2.0,NON,,,,,,,
Commerce local,Epicerie Voltaire,"5 Rue Voltaire, 51100 Reims, France",07 53 69 99 61,4.4,40.0,NON,,,,,,,
Commerce local,Magasin supérette épicerie alimentation danton,"274 Av. de Laon, 51100 Reims, France",06 24 29 49 62,4.7,7.0,NON,,,,,,,
Commerce local,Azimi Market,"34 Rue Émile Zola, 51100 Reims, France",06 22 27 00 48,3.5,20.0,NON,,,,,,,
Commerce local,CocciMarket,"41 Rue Verrier, 51100 Reims, France",06 20 64 56 20,4.2,56.0,NON,,,,,,,
Commerce local,A&N Epicerie,"105 Rue de Neufchâtel, 51100 Reims, France",07 68 25 78 12,,,NON,,,,,,,
Commerce local,Orgeval City 51,"8 Rue Charles Roche, 51100 Reims, France",07 83 45 15 69,4.9,79.0,NON,,,,,,,
Commerce local,Carrefour Market Balourdet,"4 Bis Av. d'Épernay, 51100 Reims, France",06 14 83 30 27,,,NON,,,,,,,
Commerce local,Summer de Graines,"131 Rue de Courcelles, 51100 Reims, France",06 46 17 69 64,5.0,9.0,NON,,,,,,,
Commerce local,L’artichaut,"24 Rue de Mars, 51100 Reims, France",06 65 74 05 99,4.1,30.0,NON,,,,,,,
Commerce local,BAHIA,"27 Rue de Thillois, 51100 Reims, France",06 69 60 58 07,4.9,53.0,NON,,,,,,,
Commerce local,Harvey's,"63 Rue de Chativesle, 51100 Reims, France",06 21 03 50 20,5.0,6.0,NON,,,,,,,
Commerce local,La Femme S'entête: atelier-boutique,"Champagne-Ardenne, 12 Rue de l'Université, 51100 Reims, France",07 86 99 44 03,4.8,18.0,NON,,,,,,,
Commerce local,Khalsa,"18 Pass. Saint-Jacques, 51100 Reims, France",06 51 33 40 72,3.9,17.0,NON,,,,,,,
Hôtellerie,Suites du général Leclerc,"Champagne - Ardenne, 35 Bd du Général Leclerc, 51100 Reims, France",06 31 66 51 47,4.5,4.0,NON,,,,,,,
Hôtellerie,Le loft du cadran,"38 Rue de Talleyrand, 51100 Reims, France",06 59 59 04 47,5.0,2.0,NON,,,,,,,
Hôtellerie,Les visages des Tournelles,"5 Rue des Tournelles, 51100 Reims, France",06 40 92 87 89,5.0,1.0,NON,,,,,,,
Hôtellerie,Chambre d'hôtes à proximité clinique & TGV Bezannes - Reims,"4 Rue Henri Bergson, 51430 Bezannes, France",06 74 49 85 05,5.0,80.0,NON,,,,,,,
Hôtellerie,La Petite Maison de JANE,"38 Rue Bruyant, 51100 Reims, France",06 62 98 98 52,4.9,15.0,NON,,,,,,,
Hôtellerie,Aux Deux D,"33 Rue David, 51100 Reims, France",06 70 51 78 51,4.4,7.0,NON,,,,,,,
Hôtellerie,LA LOGIA - GITES 20 PERSONNES - 10 CHAMBRES,"15 Rue Jean Jaurès, 51500 Rilly-la-Montagne, France",06 15 99 59 32,5.0,13.0,NON,,,,,,,
Hôtellerie,Alliance Réception Reims,"14 Rue Nicolas Appert, 51430 Tinqueux, France",07 77 75 26 48,4.0,24.0,NON,,,,,,,
Hôtellerie,Le Clos de la Robe : Réceptions & Séminaires,"2 Rue de la Robe, 51140 Vandeuil, France",06 75 08 32 50,4.6,44.0,NON,,,,,,,
Hôtellerie,Vranken Hospitality,"5 PLACE GENERAL GOURAUD, 51100 Reims, France",06 14 36 21 88,5.0,2.0,NON,,,,,,,
Hôtellerie,Ana Gk Photographe,"64 Bd Charles Arnould, 51100 Reims, France",06 35 45 63 64,5.0,96.0,NON,,,,,,,
